signature	etiology	etiologyBroad	associated_signatures_extracted	k_3	k_3top_words	k_2	k_2top_words
SBS45	8-oxo-guanine introduced during sequencing	8-oxo-guanine introduced during sequencing		1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS24	Aflatoxin exposure	Aflatoxin exposure		1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS5	Aging / Tobacco smoking / NER deficiency	Aging / Tobacco smoking / NER deficiency		1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS84	AID activity	AID activity	SBS85	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS85	AID activity	AID activity	SBS84	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS2	APOBEC activity	APOBEC activity	SBS13;DBS11	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS13	APOBEC activity	APOBEC activity	SBS2;DBS11	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS22	Aristolochic acid exposure	Aristolochic acid exposure		1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS32	Azathioprine exposure	Azathioprine exposure		1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS30	BER deficiency	BER deficiency		1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS36	BER deficiency	BER deficiency		1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
SBS88	Colibactin exposure	Colibactin exposure	ID18	1	sequencing, artifact, sequencing_artifact, unknown, deficiency	1	sequencing, artifact, sequencing_artifact, unknown, deficiency
